hgm	v	f_veg	f_h20	f_h40	f_h60	f_h80	f_h95	f_p20	f_p40	f_p60	f_p80	f_p95	cont_1	corr_1	savg_1	svar_1
16.5	181.65	14.41	9.21	11.86	13.999	16.029	17.779	35.204	56.122	72.959	87.755	97.449	28.45236588	0.081902504	10.39170647	116.2854156
16.1	149.19	30.159	10.134	11.474	12.605	13.485	14.615	28.977	49.432	67.614	84.659	96.591	13.46674156	0.089679718	13.74172401	173.973587
12.63	221.98	11.009	9.809	11.33	12.548	13.858	15.47	31.443	51.546	69.588	85.567	96.907	9.699121475	0.215459317	15.51640129	221.5658722
19.42	198.39	32.824	14.954	17.344	18.904	21.232	22.893	35.227	54.545	71.591	86.364	97.727	18.38184929	0.20288603	10.66001987	115.8141022
14.29	270.63	3.6	9.906	10.926	11.987	12.847	13.836	26.141	47.303	66.39	84.232	96.266	5.700157642	0.158938229	14.44939899	188.5217133
12.63	135.11	19.024	8.068	9.38	10.24	11.39	13.21	27.711	48.795	68.072	85.542	96.988	7.228055	-0.007301167	13.85416508	172.1835022
11.74	130.77	18.132	8.368	9.527	10.667	12.477	14.017	32.886	53.02	71.141	86.577	97.315	15.37695313	0.319518775	13.46283722	178.2733307
16.58	267.35	19.209	11.822	13.253	14.173	15.311	16.572	25.175	46.154	65.734	83.916	96.503	2.538266182	0.077571802	12.83684063	147.1856842
15.6	145	30.488	11.147	12.579	13.349	14.458	15.748	27.485	47.953	66.667	84.211	96.491	9.099338532	0.115431584	12.93841457	151.4572601
25.8	362.01	36.68	14.37	17.431	20.412	22.82	24.092	33.537	54.268	71.341	86.585	96.951	19.03924179	0.11961741	11.38440228	126.7184372
8.2	53.84	39.231	4.903	5.823	6.912	7.352	9.242	34.177	54.43	72.152	87.342	97.468	5.679985046	0.278340936	17.17378998	271.7960205
14.96	113.18	38.889	9.609	10.529	11.708	12.879	14.458	27.972	48.951	67.832	85.315	96.503	5.821504593	0.315134317	13.94044113	178.2862549
14.5	208.68	22.159	8.982	10.901	12.341	13.651	14.971	32.847	54.015	70.803	86.131	97.08	7.161569595	0.20816046	12.11781788	133.0917511
24.1	370.47	12.245	16.131	19.243	20.692	22.031	23.771	31.628	51.628	68.837	85.116	96.744	17.11115456	0.163722843	11.40688133	126.6810989
13.14	125.73	16.8	8.367	10.209	11.469	12.937	14.549	32.212	52.885	70.673	86.538	97.115	13.6413269	0.395013511	14.17331886	197.4630127
26.51	318.29	3.689	18.139	22.268	23.868	25.308	27.058	43.83	60	74.468	87.66	97.021	23.82104492	0.15495263	15.39688015	230.568985
14.57	121.64	36.434	10.367	11.468	13.307	14.708	16.917	30.488	51.22	69.512	86.585	97.561	9.168012619	0.177898958	12.56630802	143.4677124
18.14	347.5	11.673	13.784	15.723	17.203	20.124	23.564	30.396	51.101	70.044	86.344	97.357	26.22892189	0.316602379	9.950353622	125.0688248
19.9	321.76	19.149	13.912	16.851	18.182	20.461	21.893	27.193	49.123	67.544	85.088	96.491	18.93491554	0.110978454	8.980919838	83.61184692
16.46	217.7	24.194	12.694	14.195	15.016	16.157	17.597	25.532	46.809	65.957	84.043	96.809	9.199287415	0.037486766	13.77413368	171.2168732
19.34	220.93	27.679	13.949	15.13	15.858	16.919	18.38	25.926	45.679	65.432	83.951	96.296	3.701981068	0.15738447	12.10547638	131.0357666
23.6	327.19	21.705	14.202	17.053	18.681	21.352	22.923	31.683	52.475	70.297	86.139	97.03	12.89728355	0.020711482	8.600730896	69.19715881
12.14	117.4	22.261	6.942	8.232	9.151	10.331	11.461	29.091	50.455	69.091	85.455	96.818	7.456086636	0.143756077	14.22809792	184.0428162
8.75	72.04	28.947	5.602	6.421	7.453	8.292	9.942	29.63	50.617	70.37	86.42	97.531	6.963511944	-0.016543271	13.34642601	158.9757233
17.4	167.32	32.331	11.703	12.832	14.291	15.292	16.763	26.667	47.778	66.667	84.444	96.667	7.035312176	0.130332664	13.00537109	151.6737823
14.83	242.95	9.155	9.758	10.867	12.288	13.887	15.778	27.132	48.837	68.217	85.271	96.899	12.20814896	0.16847375	14.57587337	196.0134583
20.49	195.49	11.742	14.539	18.39	20.72	22.349	25.25	39.485	57.94	73.391	87.554	97.425	26.87238312	0.318107605	15.27996731	245.2991638
10.3	125.01	20	7.172	8.161	9.141	9.83	10.892	31.548	51.786	69.643	85.714	97.024	11.08385277	0.322650522	17.46783066	285.6941833
18.55	305	8.444	13.419	15.028	15.988	16.968	18.108	31.068	50	67.961	84.466	96.602	7.629416466	0.184327766	13.57727814	166.8521576
19	197.31	23.387	11.587	13.167	14.577	15.867	18.187	26.316	47.368	67.368	85.263	96.842	8.347058296	0.078655869	13.95872307	175.8302612
14.64	138.64	20.319	9.445	10.593	11.525	12.613	14.053	26.5	47.5	67	84.5	96.5	11.53894043	0.124786027	13.99315262	179.5343628
7.99	53.33	21.402	3.828	4.757	5.477	6.457	7.709	30.986	53.052	71.362	87.324	97.183	4.409589768	0.142040372	15.66614246	223.2819214
25.4	370.36	27.092	16.183	18.043	20.834	23.003	25.094	31.148	51.366	69.945	85.792	96.721	31.91201591	0.093162112	11.39052963	139.741745
21.8	270.78	18.11	12.083	15.653	17.803	20.784	25.193	36.538	56.731	73.558	87.981	97.596	15.6079998	0.183108851	9.387307167	89.15496826
14.15	159.39	20.69	9.64	11.62	12.769	13.758	15.11	33.152	52.717	70.109	85.87	96.739	8.772848129	0.174671352	14.1394186	181.5895538
10.52	123.7	9.677	7.274	8.114	8.694	9.465	11.245	26.339	47.321	66.518	84.375	96.875	3.691935062	0.141019583	16.43346405	248.0938873
14.25	175.92	10.593	9.14	10.45	11.121	12.271	14.1	27.962	48.815	67.773	84.834	96.682	11.72527981	0.168513566	14.58489037	195.7763214
25.6	286.1	28.571	15.522	17.691	20.771	22.211	24.311	30.588	51.765	69.412	85.882	97.647	22.45147133	0.301835388	13.04325199	178.69487
15.8	151.89	32.847	10.528	12.029	13.018	14.079	15.029	26.087	47.283	66.304	84.239	96.196	10.79961014	0.140509531	14.11678505	182.2991486
20.58	259.44	22.222	16.421	18.611	19.71	21.042	22.241	28.571	49.451	67.033	84.615	96.703	4.056065083	0.057739928	13.19773769	155.5732269
11.33	165.42	6.25	8.149	9.38	9.92	10.831	11.709	25.714	46.667	66.667	84.762	96.19	2.668003321	0.078304492	12.04074669	128.9605103
16.55	170.35	15.116	8.336	10.275	11.354	12.644	13.823	31.05	51.598	69.863	85.845	96.804	12.73968315	0.068576679	15.54027748	221.1196442
14.18	243.59	11.486	11.197	12.356	12.938	13.716	14.556	26.718	47.328	65.649	83.969	96.183	7.797059059	0.243506044	15.54322815	221.8640137
12.46	120.62	18.182	7.132	8.721	10.351	12.011	12.992	34.444	55.556	73.333	87.778	97.778	8.377672195	0.17651923	14.95796013	203.2540283
18.59	188.14	29.365	14.338	15.876	16.957	18.127	19.996	37.079	53.933	70.787	86.517	97.753	14.49066067	0.132913202	15.22097111	215.0773773
18.23	272.22	8.56	12.649	15.081	16.381	18.011	19.83	30.213	50.638	68.936	85.532	97.021	33.04730988	0.220955312	15.30567455	245.614502
19.26	251.07	13.821	14.253	15.692	17.003	18.223	19.042	29.245	49.057	67.925	84.906	96.226	9.531447411	0.091001481	13.75182343	170.9209137
11.67	96.11	24.561	5.018	6.438	7.729	8.379	9.719	33.721	54.651	72.093	87.209	97.674	12.74371052	0.103507094	14.65546131	197.4923706
27.15	437.46	16.183	13.98	18.571	21.01	23.331	26.52	35.149	54.95	71.782	87.129	97.03	39.21277618	0.144765735	11.06796741	147.0512695
11.47	106.24	30.973	8.861	10.282	11.021	11.831	13.47	30.769	51.282	69.231	85.897	97.436	17.28855515	-0.017219119	14.17547798	184.9164886
21.2	278.89	31.25	15.053	18.363	20.353	22.224	23.803	31.313	51.515	69.697	85.859	96.97	22.14955902	0.20453167	8.77963829	90.14901733
17.67	211.74	20.8	13.645	14.526	15.705	16.934	18.935	27.273	47.475	66.667	84.848	96.97	14.38126087	0.205949351	14.99825192	210.6205597
20.68	266.19	30.519	16.398	17.888	18.977	19.809	21.618	29.439	48.598	66.822	84.112	96.729	8.352599144	0.521303892	13.27738094	171.6432648
18.38	151.29	26.563	9.191	12.901	14.972	16.351	18.202	37.234	56.915	72.872	87.234	97.34	6.39015913	0.05450552	12.61246014	142.1254425
15.5	257.51	15.068	10.112	11.971	13.341	15.163	16.972	28.226	50	68.548	85.484	96.774	22.29858398	0.12305022	11.21526623	126.8848953
13.97	168.35	3.077	9.368	10.637	11.477	13.568	16.657	28.571	50	69.841	86.508	97.619	9.429614067	0.010545652	13.88347626	174.246048
9.27	80.22	18.577	6.913	8.144	8.945	9.895	11.993	29.612	50.485	69.417	85.922	97.087	8.899756432	0.32746318	18.20326996	311.6217651
17.11	190.29	28.099	12.716	13.826	15.515	16.366	17.655	27.586	48.276	67.816	85.057	96.552	6.518397808	0.117552742	16.87800598	259.9243469
